time,i,j,k,head
    0.000000   1   1   1    75.000000
    0.000000   2   1   1    75.000000
    0.000000   3   1   1    75.000000
    0.000000   4   1   1    75.000000
    0.000000   5   1   1    75.000000
    0.000000   6   1   1    75.000000
    0.000000   7   1   1    75.000000
    0.000000   8   1   1    75.000000
    0.000000   9   1   1    75.000000
    0.000000  10   1   1    75.000000
    0.000000  11   1   1    75.000000
    0.000000  12   1   1    75.000000
    0.000000  13   1   1    75.000000
    0.000000  14   1   1    75.000000
    0.000000  15   1   1    75.000000
    0.000000   1   2   1   999.999000
    0.000000   2   2   1    90.000588
    0.000000   3   2   1    89.921720
    0.000000   4   2   1    89.764160
    0.000000   5   2   1    89.528204
    0.000000   6   2   1    89.214891
    0.000000   7   2   1    88.826301
    0.000000   8   2   1    88.366509
    0.000000   9   2   1    87.842828
    0.000000  10   2   1    87.268071
    0.000000  11   2   1    86.663838
    0.000000  12   2   1    86.066282
    0.000000  13   2   1    85.535943
    0.000000  14   2   1    85.176849
    0.000000  15   2   1   999.999000
    0.000000   1   3   1   999.999000
    0.000000   2   3   1    97.795713
    0.000000   3   3   1    97.686348
    0.000000   4   3   1    97.467712
    0.000000   5   3   1    97.140136
    0.000000   6   3   1    96.704706
    0.000000   7   3   1    96.164146
    0.000000   8   3   1    95.524082
    0.000000   9   3   1    94.795119
    0.000000  10   3   1    93.996233
    0.000000  11   3   1    93.159942
    0.000000  12   3   1    92.340487
    0.000000  13   3   1    91.626517
    0.000000  14   3   1    91.159764
    0.000000  15   3   1   999.999000
    0.000000   1   4   1   999.999000
    0.000000   2   4   1   102.269557
    0.000000   3   4   1   102.143754
    0.000000   4   4   1   101.892210
    0.000000   5   4   1   101.515363
    0.000000   6   4   1   101.014553
    0.000000   7   4   1   100.393116
    0.000000   8   4   1    99.657934
    0.000000   9   4   1    98.822019
    0.000000  10   4   1    97.908499
    0.000000  11   4   1    96.956717
    0.000000  12   4   1    96.031333
    0.000000  13   4   1    95.235084
    0.000000  14   4   1    94.724503
    0.000000  15   4   1   999.999000
    0.000000   1   5   1   999.999000
    0.000000   2   5   1   104.349759
    0.000000   3   5   1   104.216458
    0.000000   4   5   1   103.949993
    0.000000   5   5   1   103.550850
    0.000000   6   5   1   103.020569
    0.000000   7   5   1   102.362839
    0.000000   8   5   1   101.585219
    0.000000   9   5   1   100.701956
    0.000000  10   5   1    99.738296
    0.000000  11   5   1    98.736935
    0.000000  12   5   1    97.767280
    0.000000  13   5   1    96.937936
    0.000000  14   5   1    96.410712
    0.000000  15   5   1   999.999000
    0.000000   1   6   1   999.999000
    0.000000   2   6   1   104.349758
    0.000000   3   6   1   104.216459
    0.000000   4   6   1   103.949992
    0.000000   5   6   1   103.550851
    0.000000   6   6   1   103.020568
    0.000000   7   6   1   102.362839
    0.000000   8   6   1   101.585218
    0.000000   9   6   1   100.701956
    0.000000  10   6   1    99.738296
    0.000000  11   6   1    98.736935
    0.000000  12   6   1    97.767279
    0.000000  13   6   1    96.937937
    0.000000  14   6   1    96.410712
    0.000000  15   6   1   999.999000
    0.000000   1   7   1   999.999000
    0.000000   2   7   1   102.269557
    0.000000   3   7   1   102.143753
    0.000000   4   7   1   101.892211
    0.000000   5   7   1   101.515362
    0.000000   6   7   1   101.014554
    0.000000   7   7   1   100.393115
    0.000000   8   7   1    99.657935
    0.000000   9   7   1    98.822018
